"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"                  ","                  ","               (M)","               (M)","               (M)","               (W)","            (KG/S)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.31560000E+08"
"             A1219","             A1220",  0.10000000000E+005,  0.00000000000E+000, -0.22500000000E+001,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"TIME [sec]  0.12620000E+09"
"             A11 0","             A11 1",  0.30002474023E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29981035940E+004, -0.46733941556E-009, -0.46733941556E-009,  0.00000000000E+000
"             A11 1","             A11 2",  0.60634010403E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29921980461E+004, -0.21594281175E-008, -0.21594281175E-008,  0.00000000000E+000
"             A11 2","             A11 3",  0.91920359460E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29818616897E+004, -0.53661369949E-008, -0.53661369949E-008,  0.00000000000E+000
"             A11 3","             A11 4",  0.12383235403E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29665601036E+004, -0.10366477010E-007, -0.10366477010E-007,  0.00000000000E+000
"             A11 4","             A11 5",  0.15642871972E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29457219389E+004, -0.17434328060E-007, -0.86888745317E-003,  0.86887001885E-003
"             A11 5","             A11 6",  0.18972519769E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29467809482E+004, -0.23089311782E-005, -0.11155982823E-002,  0.11132893511E-002
"             A11 6","             A11 7",  0.22372121415E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29483545899E+004, -0.60365608256E-005, -0.11007894532E-002,  0.10947528924E-002
"             A11 7","             A11 8",  0.25841784869E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29497446756E+004, -0.98114055483E-005, -0.10857163702E-002,  0.10759049646E-002
"             A11 8","             A11 9",  0.29381352604E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29512061735E+004, -0.14472472918E-004, -0.10693526705E-002,  0.10548801975E-002
"             A11 9","             A1110",  0.33000978172E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29530667768E+004, -0.21127176321E-004, -0.10497737812E-002,  0.10286466049E-002
"             A1110","             A1111",  0.36695613513E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29556034203E+004, -0.30924372301E-004, -0.40413590051E-003,  0.37321152821E-003
"             A1111","             A1112",  0.40465205195E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29460923721E+004, -0.33997621728E-004, -0.15465731343E-007, -0.33982155997E-004
"             A1112","             A1113",  0.44314755725E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29333722417E+004, -0.37282727729E-004, -0.14096684828E-007, -0.37268631044E-004
"             A1113","             A1114",  0.48249313096E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29172458325E+004, -0.40680061899E-004, -0.15299808429E-007, -0.40664762091E-004
"             A1114","             A1115",  0.52263933291E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28976292797E+004, -0.44094603836E-004, -0.16993266306E-007, -0.44077610570E-004
"             A1115","             A1116",  0.56363406814E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28745105044E+004, -0.47440261615E-004, -0.18932018715E-007, -0.47421329596E-004
"             A1116","             A1117",  0.60548045781E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28479208442E+004, -0.50642467688E-004, -0.21076780129E-007, -0.50621390907E-004
"             A1117","             A1118",  0.64817538041E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28179170593E+004, -0.53639559304E-004, -0.23438480598E-007, -0.53616120823E-004
"             A1118","             A1119",  0.69182042191E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27845678822E+004, -0.56383428238E-004, -0.26042274561E-007, -0.56357385964E-004
"             A1119","             A1120",  0.73636606238E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27479476535E+004, -0.58839239800E-004, -0.28914948193E-007, -0.58810324852E-004
"             A1120","             A1121",  0.78186078158E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27081324607E+004, -0.60984749296E-004, -0.32079407423E-007, -0.60952669888E-004
"             A1121","             A1122",  0.82830612480E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26651972722E+004, -0.62809157293E-004, -0.35552089852E-007, -0.62773605203E-004
"             A1122","             A1123",  0.87570105197E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26192163427E+004, -0.64311532265E-004, -0.39342056917E-007, -0.64272190208E-004
"             A1123","             A1124",  0.92409558845E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25702614277E+004, -0.65499171950E-004, -0.43451462867E-007, -0.65455720488E-004
"             A1124","             A1125",  0.97354021424E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25184056658E+004, -0.66385566287E-004, -0.47875953963E-007, -0.66337690333E-004
"             A1125","             A1126",  0.10241334327E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24637296504E+004, -0.66988436245E-004, -0.52605540115E-007, -0.66935830705E-004
"             A1126","             A1127",  0.10757298481E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24063121919E+004, -0.67328045905E-004, -0.57627151960E-007, -0.67270418753E-004
"             A1127","             A1128",  0.11282243374E+002,  0.00000000000E+000, -0.22500000000E+001, -0.23462444419E+004, -0.67425349640E-004, -0.62924924216E-007, -0.67362424716E-004
"             A1128","             A1129",  0.11817189521E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22836283567E+004, -0.67300619144E-004, -0.68481940139E-007, -0.67232137204E-004
"             A1129","             A1130",  0.12367089859E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22185684600E+004, -0.66972266617E-004, -0.74282387953E-007, -0.66897984229E-004
